Material,Month,Stock On Hand,Val.stk(I),Tot. usage,Unit
33909,2.2016,"1,304.00",PC,662,PC
33909,3.2016,"1,023.00",PC,508,PC
33909,4.2016,890,PC,432,PC
33909,5.2016,"1,203.00",PC,392,PC
33909,6.2016,781,PC,387,PC
33909,7.2016,406,PC,376,PC
33909,8.2016,916,PC,635,PC
33909,9.2016,768,PC,435,PC
33909,10.2016,818,PC,554,PC
33909,11.2016,555,PC,528,PC
33909,12.2016,"1,442.00",PC,521,PC
33909,1.2017,"1,731.00",PC,608,PC
33909,2.2017,706,PC,377,PC
33909,3.2017,501,PC,480,PC
33909,4.2017,383,PC,367,PC
33909,5.2017,608,PC,475,PC
33909,6.2017,500,PC,479,PC
33909,7.2017,623,PC,454,PC
33909,8.2017,"1,125.00",PC,658,PC
33909,9.2017,991,PC,513,PC
33909,10.2017,717,PC,539,PC
33909,11.2017,470,PC,437,PC
33909,12.2017,657,PC,491,PC
33909,1.2018,521,PC,492,PC
33909,2.2018,529,PC,417,PC
33909,3.2018,618,PC,356,PC
33909,4.2018,338,PC,316,PC
33909,5.2018,495,PC,380,PC
33909,6.2018,410,PC,363,PC
33909,7.2018,562,PC,396,PC
33909,8.2018,970,PC,571,PC
33909,9.2018,"1,594.00",PC,529,PC
33909,10.2018,"1,874.00",PC,687,PC
33909,11.2018,887,PC,549,PC
33909,12.2018,630,PC,511,PC
33909,1.2019,616,PC,452,PC
33909,2.2019,286,PC,277,PC
33909,3.2019,379,PC,360,PC
33909,4.2019,343,PC,314,PC
33909,5.2019,445,PC,424,PC
33909,6.2019,520,PC,421,PC
33909,7.2019,791,PC,581,PC
33909,8.2019,926,PC,565,PC
33909,9.2019,639,PC,563,PC
33909,10.2019,"1,182.00",PC,544,PC
33909,11.2019,"1,289.00",PC,604,PC
33909,12.2019,"1,254.00",PC,525,PC
33909,1.202,457,PC,342,PC
33909,2.202,516,PC,335,PC
33909,3.202,312,PC,301,PC
33909,4.202,345,PC,263,PC
33909,5.202,301,PC,281,PC
33909,6.202,603,PC,423,PC
33909,7.202,711,PC,491,PC
33909,8.202,810,PC,407,PC
33909,9.202,523,PC,413,PC
33909,10.202,812,PC,526,PC
33909,11.202,594,PC,434,PC
33909,12.202,"1,213.00",PC,494,PC
33909,1.2021,930,PC,500,PC
33909,2.2021,631,PC,244,PC
33909,3.2021,340,PC,313,PC
33909,4.2021,544,PC,360,PC
33909,5.2021,569,PC,535,PC
33909,6.2021,"1,097.00",PC,770,PC
33909,7.2021,610,PC,482,PC
33909,8.2021,622,PC,593,PC
33909,9.2021,778,PC,614,PC
33909,10.2021,726,PC,642,PC
33909,11.2021,562,PC,540,PC
33909,12.2021,452,PC,429,PC
33909,1.2022,587,PC,408,PC
33909,2.2022,543,PC,527,PC
33909,3.2022,839,PC,315,PC
33909,4.2022,546,PC,346,PC
33909,5.2022,593,PC,345,PC
33909,6.2022,617,PC,380,PC
