"Material","Month","Stock On Hand","Val.stk(I)","Consumption","Tot. usage"
"033909","10.2013","0.00","PC","0","PC"
"033909","11.2013","0.00","PC","0","PC"
"033909","12.2013","0.00","PC","0","PC"
"033909","01.2014","0.00","PC","0","PC"
"033909","02.2014","0.00","PC","0","PC"
"033909","03.2014","0.00","PC","0","PC"
"033909","04.2014","0.00","PC","0","PC"
"033909","05.2014","0.00","PC","0","PC"
"033909","06.2014","0.00","PC","0","PC"
"033909","07.2014","0.00","PC","0","PC"
"033909","08.2014","0.00","PC","0","PC"
"033909","09.2014","0.00","PC","0","PC"
"033909","10.2014","0.00","PC","0","PC"
"033909","11.2014","0.00","PC","0","PC"
"033909","12.2014","0.00","PC","0","PC"
"033909","01.2015","0.00","PC","0","PC"
"033909","02.2015","0.00","PC","0","PC"
"033909","03.2015","0.00","PC","0","PC"
"033909","04.2015","0.00","PC","0","PC"
"033909","05.2015","0.00","PC","0","PC"
"033909","06.2015","15.00","PC","0","PC"
"033909","07.2015","160.00","PC","0","PC"
"033909","08.2015","854.00","PC","436","PC"
"033909","09.2015","1,344.00","PC","428","PC"
"033909","10.2015","2,333.00","PC","650","PC"
"033909","11.2015","1,274.00","PC","586","PC"
"033909","12.2015","990.00","PC","574","PC"
"033909","01.2016","1,277.00","PC","702","PC"
"033909","02.2016","1,304.00","PC","662","PC"
"033909","03.2016","1,023.00","PC","508","PC"
"033909","04.2016","890.00","PC","432","PC"
"033909","05.2016","1,203.00","PC","392","PC"
"033909","06.2016","781.00","PC","387","PC"
"033909","07.2016","406.00","PC","376","PC"
"033909","08.2016","916.00","PC","635","PC"
"033909","09.2016","768.00","PC","435","PC"
"033909","10.2016","818.00","PC","554","PC"
"033909","11.2016","555.00","PC","528","PC"
"033909","12.2016","1,442.00","PC","521","PC"
"033909","01.2017","1,731.00","PC","608","PC"
"033909","02.2017","706.00","PC","377","PC"
"033909","03.2017","501.00","PC","480","PC"
"033909","04.2017","383.00","PC","367","PC"
"033909","05.2017","608.00","PC","475","PC"
"033909","06.2017","500.00","PC","479","PC"
"033909","07.2017","623.00","PC","454","PC"
"033909","08.2017","1,125.00","PC","658","PC"
"033909","09.2017","991.00","PC","513","PC"
"033909","10.2017","717.00","PC","539","PC"
"033909","11.2017","470.00","PC","437","PC"
"033909","12.2017","657.00","PC","491","PC"
"033909","01.2018","521.00","PC","492","PC"
